Tm,W,L,W-L%,GB
New York Yankees,14,9,0.609,--
Boston Red Sox,13,11,0.542,1.5
Toronto Blue Jays,12,11,0.522,2.0
Baltimore Orioles,9,12,0.429,4.0
Tampa Bay Rays,9,13,0.409,4.5
Detroit Tigers,14,9,0.609,--
Cleveland Guardians,13,9,0.591,0.5
Kansas City Royals,9,14,0.391,5.0
Minnesota Twins,7,15,0.318,6.5
Chicago White Sox,5,17,0.227,8.5
Texas Rangers,13,9,0.591,--
Seattle Mariners,12,10,0.545,1.0
Los Angeles Angels,11,10,0.524,1.5
Houston Astros,11,11,0.5,2.0
Athletics,10,12,0.455,3.0
New York Mets,16,7,0.696,--
Philadelphia Phillies,13,10,0.565,3.0
Miami Marlins,10,12,0.455,5.5
Atlanta Braves,9,13,0.409,6.5
Washington Nationals,9,13,0.409,6.5
Chicago Cubs,14,10,0.583,--
Milwaukee Brewers,12,11,0.522,1.5
Cincinnati Reds,11,12,0.478,2.5
St. Louis Cardinals,9,14,0.391,4.5
Pittsburgh Pirates,8,15,0.348,5.5
Los Angeles Dodgers,16,7,0.696,--
San Diego Padres,16,7,0.696,--
San Francisco Giants,15,8,0.652,1.0
Arizona Diamondbacks,13,9,0.591,2.5
Colorado Rockies,4,17,0.19,11.0
